0.0,0.0,22.0,38.0,52.0,63.0,71.0,91.0,84.0,120.0
21.0,45.0,42.0,76.0,72.0,83.0,88.0,109.0,114.0,136.0
56.0,60.0,65.0,89.0,93.0,98.0,103.0,124.0,132.0,151.0
68.0,73.0,79.0,100.0,104.0,114.0,123.0,144.0,154.0,177.0
100.0,95.0,104.0,125.0,143.0,138.0,148.0,168.0,204.0,200.0
116.0,125.0,120.0,138.0,159.0,164.0,169.0,181.0,217.0,221.0
142.0,153.0,156.0,161.0,182.0,190.0,194.0,216.0,241.0,245.0
158.0,170.0,175.0,179.0,198.0,208.0,212.0,234.0,259.0,263.0
173.0,183.0,188.0,192.0,213.0,223.0,227.0,249.0,274.0,278.0
186.0,193.0,201.0,206.0,224.0,235.0,239.0,261.0,284.0,289.0
211.0,215.0,226.0,230.0,248.0,260.0,265.0,284.0,309.0,314.0
