22,59,73,49,40,80,71,85,126,83
24,61,76,51,42,82,73,87,128,90
31,68,83,58,54,89,80,94,135,97
31,70,83,58,61,91,80,96,137,99
39,78,91,66,69,99,88,104,145,112
41,78,93,66,69,101,90,106,147,114
48,86,100,77,83,108,97,113,154,128
48,86,100,77,89,108,103,115,154,128
57,91,105,87,95,113,108,121,159,138
57,91,105,94,97,115,118,121,161,138
71,98,114,104,111,122,125,136,168,152
75,100,114,104,117,122,125,139,168,158
91,108,122,119,128,134,140,155,176,173
101,111,122,125,128,134,140,157,176,179
116,127,130,137,145,152,158,174,184,193
116,133,130,137,145,154,158,177,186,193
128,140,137,151,158,166,172,189,196,205
128,140,137,153,158,166,174,189,196,205
141,154,144,165,172,180,187,203,210,219
